t_stim_on,success,t_rew
6.8451,True,7.255133333333333
8.120166666666666,True,8.5286
9.4142,True,9.825233333333333
10.6963,True,11.109366666666666
11.982333333333333,True,12.3884
13.2564,True,13.663433333333334
14.531433333333334,True,14.9365
15.818533333333333,True,16.2255
17.107566666666667,True,17.5176
18.393633333333334,True,18.802633333333333
19.6627,True,20.0727
20.954733333333333,True,21.364766666666668
22.24576666666667,True,22.6518
23.928833333333333,True,24.3419
25.2189,True,25.620966666666668
26.493966666666665,True,26.897966666666665
27.765033333333335,True,28.173033333333333
29.042066666666667,True,29.449166666666667
30.316133333333333,True,30.723166666666668
31.6132,True,32.01926666666667
32.87226666666667,True,33.2783
34.1463,True,34.55043333333333
35.43436666666667,True,35.8444
36.728433333333335,True,37.134433333333334
38.03646666666667,True,38.4425
39.31653333333333,True,39.72356666666666
40.6036,True,41.010666666666665
41.897666666666666,True,42.30266666666667
43.1777,True,43.58076666666667
44.46176666666667,True,44.865766666666666
45.7338,True,46.14386666666667
47.028866666666666,True,47.4339
48.290933333333335,True,48.696933333333334
49.581,True,49.986
50.863033333333334,True,51.273066666666665
52.88313333333333,True,53.292233333333336
54.1572,True,54.563266666666664
55.4933,True,55.90533333333333
56.7783,True,57.1904
58.06036666666667,True,58.47143333333333
59.3494,True,59.756433333333334
60.642466666666664,True,61.04946666666667
61.9245,True,62.327533333333335
63.1946,True,63.5986
64.47173333333333,True,64.88366666666667
65.74676666666667,True,66.14973333333333
67.01173333333334,True,67.41683333333333
68.2948,True,68.7029
69.5819,True,69.98786666666666
70.8579,True,71.26493333333333
72.33096666666667,True,72.743
73.61803333333333,True,74.02203333333334
74.9081,False,
76.19216666666667,True,76.5982
77.47026666666666,True,77.88423333333333
78.76526666666666,True,79.17126666666667
80.06233333333333,True,80.46936666666667
81.34236666666666,True,81.74736666666666
82.6074,True,83.01843333333333
83.89846666666666,True,84.3075
85.18056666666666,True,85.59256666666667
87.24273333333333,True,87.6517
88.5237,False,
89.57073333333334,True,89.9818
90.85283333333334,True,91.25886666666666
92.14086666666667,True,92.54586666666667
93.4389,True,93.8439
94.71896666666666,True,95.12696666666666
95.997,True,96.41203333333333
